ANO,UF,SEXO_FEMININO,SEXO_MASCULINO,SEXO_NAO_INFORMADO,FE_12_14_ANOS,FE_15_17_ANOS,FE_18_24_ANOS,FE_25_30_ANOS,FE_31_35_ANOS,FE_36_40_ANOS,FE_41_45_ANOS,FE_46_50_ANOS,FE_51_55_ANOS,FE_56_60_ANOS,FE_61_65_ANOS,FE_66_70_ANOS,FE_71_75_ANOS,FE_76_80_ANOS,FE_81_85_ANOS,FE_86_90_ANOS,FE_91_MAIS,FE_NAO_INFORMADO,CR_AMARELA,CR_BRANCA,CR_INDIGENA,CR_NAO_INFORMADO,CR_PARDA,CR_PRETA
2013,RO,55,298,51,2,24,57,51,44,37,21,23,16,10,1,3,0,2,0,0,0,113,2,57,1,182,136,26
2013,RR,2,28,4,0,2,1,3,1,2,2,4,1,2,0,0,0,0,0,0,0,16,0,2,1,16,13,2
2013,RS,278,1165,211,35,48,206,186,160,175,97,102,58,47,31,16,11,3,1,2,0,476,7,544,5,754,254,90
2013,SC,234,972,153,7,37,170,243,167,125,79,67,43,34,16,7,5,3,2,3,1,350,3,439,2,578,291,46
2013,SE,58,239,32,1,10,58,50,19,32,31,20,8,6,4,2,1,1,0,0,1,85,3,45,0,153,108,20
2013,SP,741,2764,506,45,87,528,590,333,416,242,264,110,96,35,30,65,12,2,2,3,1151,9,926,6,1786,1005,279
2013,TO,18,110,19,0,7,28,18,16,13,8,9,4,4,0,1,1,0,0,0,0,38,0,29,1,63,41,13
2013,NA,12,64,103,0,1,7,9,2,4,0,5,1,1,0,1,0,0,0,0,0,148,0,14,0,158,6,1
2014,AC,12,89,8,,1,23,13,15,18,7,9,4,1,1,2,0,0,0,0,0,15,1,18,0,38,45,7
2014,AL,51,258,35,5,16,55,47,25,45,16,12,9,6,5,4,2,0,0,0,0,97,2,59,0,165,101,17
2014,AM,70,557,109,6,25,107,119,66,71,46,33,19,19,8,6,0,0,0,1,0,210,2,107,5,317,269,36
2014,AP,8,41,7,1,3,10,4,9,4,4,2,0,1,1,0,0,1,0,0,0,16,1,11,0,30,12,2
2014,BA,317,1392,278,14,91,354,275,164,182,94,106,53,65,20,17,4,4,0,0,0,544,7,299,1,870,572,238
2014,CE,146,646,128,5,37,157,135,79,91,45,43,26,20,12,8,2,1,0,0,1,258,3,183,0,420,251,63
2014,DF,125,375,88,10,19,47,80,68,62,32,34,14,16,5,6,0,1,1,0,0,193,0,107,0,303,131,47
2014,ES,60,272,60,1,5,47,58,48,55,19,16,13,9,4,1,2,1,0,0,1,112,2,71,2,173,96,48
2014,GO,125,757,144,33,78,176,118,94,89,61,46,25,22,6,6,2,1,1,0,0,268,3,228,0,481,261,53
2014,MA,106,666,142,5,27,118,128,105,101,47,50,19,18,12,12,3,1,1,0,0,267,1,176,0,440,232,65
2014,MG,319,1335,290,34,54,227,237,187,224,158,70,43,41,23,12,7,5,0,0,0,622,5,419,2,915,458,145
2014,MS,66,304,56,10,11,65,85,29,39,14,29,11,14,6,5,0,0,0,0,0,108,3,91,0,174,127,31
2014,MT,70,351,67,7,4,40,160,32,48,19,16,8,10,6,0,3,1,0,0,0,134,0,147,1,211,101,28
2014,PA,78,641,105,10,13,135,121,70,80,52,62,35,35,7,6,2,2,0,1,0,193,2,136,0,348,281,57
2014,PB,94,452,68,5,20,68,105,68,56,70,22,14,15,7,5,1,2,0,0,0,156,4,181,1,272,131,25
2014,PE,149,660,150,11,27,162,117,89,95,48,46,32,28,7,8,2,2,1,0,0,284,3,200,1,428,262,65
2014,PI,45,237,63,4,7,59,46,34,26,17,18,10,9,3,3,0,0,0,0,0,109,1,59,0,173,95,17
2014,PR,204,876,197,26,35,132,167,129,122,82,77,30,38,16,10,9,2,0,0,0,402,1,347,2,604,259,64
2014,RJ,333,1275,316,23,52,244,260,148,181,98,126,61,55,38,12,7,3,0,2,0,614,2,331,2,933,450,206
2014,RN,108,449,103,7,19,95,113,60,70,28,36,7,15,8,4,0,3,2,0,0,193,2,128,0,304,184,42
2014,RO,24,152,29,2,4,26,24,19,33,8,11,5,7,1,2,0,0,0,0,0,63,0,32,3,89,63,18
2014,RR,1,24,3,1,2,5,1,2,0,1,3,1,0,1,0,0,0,0,0,0,11,0,2,0,15,11,0
2014,RS,224,955,193,27,43,152,171,110,160,84,88,47,50,16,18,5,3,0,0,0,398,3,464,6,615,197,87
2014,SC,210,816,154,7,14,114,201,191,144,52,55,30,43,21,7,3,6,2,1,0,289,1,377,4,471,277,50
2014,SE,30,145,36,7,8,35,33,16,17,6,7,4,5,4,4,0,0,0,0,0,65,0,31,0,95,66,19
2014,SP,573,2262,576,44,104,423,410,286,319,201,275,88,94,49,30,9,7,5,1,1,1065,12,801,4,1608,755,231
2014,TO,20,70,9,0,1,14,18,8,11,7,6,4,1,0,1,1,0,0,0,0,27,0,16,0,34,29,20
2014,NA,7,67,127,1,3,9,9,4,4,0,3,2,1,1,1,0,0,0,0,0,163,0,12,0,176,11,2
2014,EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,AC,8,68,7,1,0,11,11,11,9,8,8,2,3,0,0,0,1,0,0,0,18,1,6,1,31,37,7
2015,AL,29,168,47,4,6,31,31,17,21,16,11,6,7,4,2,0,0,1,0,0,87,1,36,0,123,66,18
2015,AM,38,410,95,4,20,56,77,67,54,31,39,6,17,2,4,2,2,0,0,0,162,1,89,3,277,149,24
2015,AP,5,20,5,0,1,2,1,2,4,4,1,1,1,1,1,0,0,0,0,0,11,0,6,0,11,13,0
2015,BA,231,872,192,17,46,222,187,87,118,73,65,31,32,7,9,2,3,1,0,0,395,3,177,5,692,298,120
2015,CE,93,466,109,32,36,138,81,48,48,20,29,16,12,9,7,1,1,0,0,0,190,6,89,0,366,166,41
2015,DF,41,231,67,5,11,46,33,33,25,21,15,9,5,9,0,2,0,0,0,0,125,0,54,1,186,81,17
2015,ES,35,212,41,5,5,30,45,17,34,26,16,9,10,9,3,0,1,0,0,0,78,1,61,3,130,69,24
2015,GO,117,519,133,15,23,76,115,85,76,30,37,22,20,10,6,6,0,2,0,0,246,1,133,1,424,149,61
2015,MA,75,417,92,9,8,83,84,54,52,42,35,10,16,8,4,3,2,0,0,0,174,0,100,0,287,159,38
2015,MG,203,1030,235,23,49,174,189,98,170,101,75,42,34,21,16,5,6,1,1,1,462,3,271,1,753,318,122
2015,MS,59,239,66,6,12,48,65,18,30,19,24,6,9,3,2,2,1,0,0,0,119,2,68,5,202,70,17
2015,MT,37,330,56,6,5,36,100,45,37,19,14,5,8,3,5,1,1,0,1,0,137,1,86,1,210,106,19
2015,PA,65,586,116,12,22,87,100,50,66,55,76,19,22,11,8,1,2,0,1,1,234,2,100,2,376,197,90
2015,PB,74,410,80,5,7,63,104,53,64,60,29,13,11,1,3,1,0,0,2,0,148,0,134,1,262,140,27
2015,PE,89,475,103,10,15,109,88,61,51,31,33,13,13,9,6,4,1,1,1,0,221,3,120,0,337,162,45
2015,PI,43,151,42,3,3,34,36,12,32,8,18,1,3,4,1,0,0,1,0,0,80,3,31,0,135,57,10
2015,PR,123,593,166,9,28,91,118,82,88,36,45,21,24,18,9,3,2,0,1,1,306,0,198,1,490,151,42
2015,RJ,228,939,259,21,29,174,189,110,133,54,93,50,49,27,11,8,2,1,1,0,474,2,266,4,748,248,158
2015,RN,50,250,58,5,11,28,74,24,43,21,15,7,12,5,1,1,1,0,1,0,109,2,49,0,193,106,8
2015,RO,42,144,39,2,3,25,42,20,19,12,8,8,6,3,2,1,0,0,0,0,74,0,42,0,114,61,8
2015,RR,0,21,6,0,0,1,3,2,4,1,3,1,0,0,0,0,0,0,0,0,12,0,3,0,10,13,1
2015,RS,151,674,194,17,27,130,142,75,87,50,57,29,28,23,10,4,5,1,0,0,334,1,309,5,513,135,56
2015,SC,125,570,126,10,16,72,111,108,115,38,43,27,30,14,7,2,0,0,0,0,228,0,231,2,386,171,31
2015,SE,24,148,29,7,5,26,26,26,26,11,8,1,3,3,0,2,0,0,0,0,57,0,36,0,107,47,11
2015,SP,394,1659,444,32,69,282,277,183,246,141,125,73,84,45,25,9,4,2,1,0,899,7,537,4,1321,482,146
2015,TO,3,56,9,2,1,11,11,4,8,3,5,3,3,0,2,1,0,0,0,0,14,1,12,0,29,17,9
2015,NA,6,50,67,0,1,9,10,5,5,2,1,0,2,0,0,0,0,0,0,0,88,0,14,0,104,4,1
2015,EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
