ANO,MES,UF,QTDE_DENUNCIAS
2013,DEZ,AM,60
2013,JAN,AP,6
2013,FEV,AP,16
2013,MAR,AP,12
2013,ABR,AP,10
2013,MAI,AP,11
2013,JUN,AP,10
2013,JUL,AP,5
2013,AGO,AP,4
2013,SET,AP,3
2013,OUT,AP,5
2013,NOV,AP,4
2013,DEZ,AP,2
2013,JAN,BA,224
2013,FEV,BA,260
2013,MAR,BA,276
2013,ABR,BA,214
2013,MAI,BA,291
2013,JUN,BA,169
2013,JUL,BA,157
2013,AGO,BA,231
2013,SET,BA,213
2013,OUT,BA,180
2013,NOV,BA,186
2013,DEZ,BA,194
2013,JAN,CE,96
2013,FEV,CE,97
2013,MAR,CE,117
2013,ABR,CE,95
2013,MAI,CE,90
2013,JUN,CE,78
2013,JUL,CE,84
2013,AGO,CE,99
2013,SET,CE,88
2013,OUT,CE,90
2013,NOV,CE,101
2013,DEZ,CE,74
2013,JAN,DF,46
2013,FEV,DF,68
2013,MAR,DF,69
2013,ABR,DF,82
2013,MAI,DF,69
2013,JUN,DF,60
2013,JUL,DF,46
2013,AGO,DF,46
2013,SET,DF,43
2013,OUT,DF,60
2013,NOV,DF,47
2013,DEZ,DF,36
2013,JAN,ES,29
2013,FEV,ES,43
2013,MAR,ES,51
2013,ABR,ES,37
2013,MAI,ES,43
2013,JUN,ES,41
2013,JUL,ES,29
2013,AGO,ES,29
2013,SET,ES,29
2013,OUT,ES,34
2013,NOV,ES,44
2013,DEZ,ES,32
2013,JAN,GO,67
2013,FEV,GO,100
2013,MAR,GO,136
2013,ABR,GO,107
2013,MAI,GO,102
2013,JUN,GO,87
2013,JUL,GO,64
2013,AGO,GO,82
2013,SET,GO,50
2013,OUT,GO,78
2013,NOV,GO,89
2013,DEZ,GO,70
2013,JAN,MA,88
2013,FEV,MA,101
2013,MAR,MA,126
2013,ABR,MA,124
2013,MAI,MA,156
2013,JUN,MA,115
2013,JUL,MA,104
2013,AGO,MA,81
2013,SET,MA,90
2013,OUT,MA,98
2013,NOV,MA,69
2013,DEZ,MA,70
2013,JAN,MG,177
2013,FEV,MG,230
2013,MAR,MG,247
2013,ABR,MG,270
2013,MAI,MG,233
2013,JUN,MG,188
2013,JUL,MG,190
2013,AGO,MG,165
2013,SET,MG,163
2013,OUT,MG,164
2013,NOV,MG,143
2013,DEZ,MG,107
2013,JAN,MS,48
2013,FEV,MS,49
2013,MAR,MS,54
2013,ABR,MS,37
2013,MAI,MS,54
2013,JUN,MS,33
2013,JUL,MS,21
2013,AGO,MS,26
2013,SET,MS,26
2013,OUT,MS,36
2013,NOV,MS,41
2013,DEZ,MS,35
2013,JAN,MT,54
2013,FEV,MT,34
2013,MAR,MT,36
2013,ABR,MT,42
2013,MAI,MT,57
2013,JUN,MT,48
2013,JUL,MT,53
2013,AGO,MT,16
2013,SET,MT,45
2013,OUT,MT,40
2013,NOV,MT,54
2013,DEZ,MT,32
2013,JAN,PA,59
2013,FEV,PA,100
2013,MAR,PA,128
2013,ABR,PA,74
2013,MAI,PA,105
2013,JUN,PA,96
2013,JUL,PA,98
2013,AGO,PA,95
2013,SET,PA,66
2013,OUT,PA,86
2013,NOV,PA,72
2013,DEZ,PA,60
2013,JAN,PB,60
2013,FEV,PB,64
2013,MAR,PB,74
2013,ABR,PB,58
2013,MAI,PB,77
2013,JUN,PB,85
2013,JUL,PB,93
2013,AGO,PB,57
2013,SET,PB,60
2013,OUT,PB,46
2013,NOV,PB,54
2013,DEZ,PB,69
2013,JAN,PE,113
2013,FEV,PE,129
2013,MAR,PE,118
2013,ABR,PE,118
2013,MAI,PE,155
2013,JUN,PE,94
